root_id,cell_type,n_embeddings,n_skeleton_nodes,nearest_median_nm,nearest_p95_nm,nearest_p99_nm,nearest_max_nm,fraction_within_100nm,fraction_within_500nm,fraction_within_1000nm,fraction_finite_radius,embedding_center_x,skeleton_center_x,embedding_center_y,skeleton_center_y,embedding_center_z,skeleton_center_z
864691135853198023,L5ET,4551,44392,75.38536412991583,282.6898198236478,863.9357843508117,3737.195496583969,0.6290925071412876,0.983080641617227,0.99121072291804,1.0,706696.0,717251.375,850720.0,860999.5625,833880.0,841487.34375
864691135857976366,AltBasket,2577,33030,69.9233117869141,242.26515284940822,755.9421032774519,6304.051077001623,0.6918897943344975,0.9840900271633682,0.9918509895227008,1.0,1271408.0,1261494.625,412784.0,415616.484375,824280.0,817027.71875
864691135865774206,L4IT,3914,48372,62.48520310578936,214.2308886860708,1007.7384801633153,6547.790282380099,0.756004087889627,0.9833929483903935,0.9897802759325498,1.0,717276.0,721119.9375,642808.0,653038.25,844640.0,841160.6875
864691135866279900,L6CT,2882,32144,66.69254969117827,268.7566212469659,1051.2825663572264,2700.8432428884594,0.7113115891741846,0.9712005551700208,0.9892435808466343,1.0,733464.0,726685.75,939604.0,935733.25,919220.0,919914.1875
864691135866751870,L5IT,7450,105958,56.21891479940133,194.51627604088353,802.2627807136276,6193.928957429807,0.7943624161073826,0.9851006711409396,0.9920805369127517,1.0,762848.0,778552.84375,736804.0,716179.25,799940.0,796935.8125
864691135866947804,L2IT,5818,80361,57.20192742328096,201.60143682737439,866.3571664153585,3619.1532725426605,0.7744929529047783,0.9841870058439326,0.9915778618081815,1.0,727360.0,725864.5,509696.0,527688.3125,825080.0,827029.375
864691135867532933,L6IT,5191,65028,61.327056121258586,230.51910534584633,949.614620228509,3811.971850712568,0.7457137353111154,0.9782315546137546,0.9905605856289732,1.0,754920.0,759391.84375,924448.0,920474.78125,922400.0,922917.03125
864691135867561349,L6CT,1600,14990,75.77890857551414,249.02096439837146,753.3473432555062,1718.1752959626237,0.6325,0.98625,0.9925,1.0,752836.0,772003.78125,1016708.0,1023769.5625,930380.0,931708.65625
864691135867644805,L4IT,3921,51914,60.1740639208455,210.70804186421077,1039.2066596719906,3887.0886046387595,0.7574598316755929,0.9821474113746493,0.9895434838051518,1.0,769376.0,782724.625,702448.0,706409.5,862880.0,862363.625
864691135868210454,L3IT,4242,45248,71.12450846369279,261.06044628506265,1166.517302052362,3076.601624306842,0.6704384724186704,0.9813767090994814,0.9860914662894861,1.0,741824.0,741071.5625,595560.0,611372.90625,895220.0,893378.4375
864691135868334870,L6CT,2342,24583,72.2189420211613,255.90790914406884,906.5867071346704,2362.6110927914588,0.6703672075149445,0.9833475661827498,0.9906063193851409,1.0,745188.0,756549.375,920348.0,917024.5625,924400.0,942596.0625
864691135868916246,L4IT,4172,55817,60.38197602474282,202.3294544896048,1070.3070428291992,3825.184361365802,0.7710930009587728,0.9822627037392138,0.9889741131351869,1.0,670392.0,672995.8125,676576.0,682748.9375,983640.0,983567.25
864691135868946966,L6CT,1488,13528,92.7685869752176,339.27653777315743,851.549270874186,2523.7073284530243,0.5336021505376344,0.9791666666666666,0.991263440860215,1.0,807740.0,801668.03125,1029704.0,1028013.0,1025400.0,1026028.1875
864691135874782350,L2IT,3988,45302,67.73911995241005,265.5503517732782,1273.1275953774843,4675.627428234231,0.6980942828485457,0.9779338014042126,0.9854563691073219,1.0,692936.0,695918.53125,524284.0,529876.1875,873020.0,875268.28125
